42.33145048629876,-8.742886662507773,Lapamán
42.74323653302907,-8.894436838600088,Iroite
42.0747481545117,-8.880766153106379,Oia
41.92834136636834,-7.674773096841819,Baltar
41.97315999575153,-8.649046898281087,Cerdal
42.623927,-7.892687,Monte Faro
42.472329,-7.230530,Quiroga
42.13370816756725,-8.413337729561233,Sanomedio
42.3143086068421,-7.611492488151815,Rodicio
42.57975944190641,-7.144216576552217,Pía Páxaro
42.57975944190641,-7.144216576552217,Oribio
42.52199063960141,-8.371996473903904,Cerdedo

